文件名,文章内容,作文题目,作文分数
qinglihou_199605104525200137.txt,"第一个和尚、第二个和尚都抬水喝。第三个和尚也抬水喝。这样每天很多人来到山底下挑水喝，大家都怕没有水喝。大家都千方百计阻止别人去那里挑水。
第一个和尚知道别人也去那里挑水。首先吩咐徒弟去别的和尚那里，让他告诉别的和尚，“山底下的水已经没了。最好去另外的地方。”听到这个消息以后，他们都想了半天，理解了消息的意思。第二个和尚认为这是第一个和尚不让他们挑水的策略，第三个和尚认为还是去另外的地方挑水好。所以去别的地方，但怎么找也找不到水源，他死了心回去了。第二个和尚呢？他气得不得了。他偷偷地去山底下的挑水的地方挑了很多水带回家，然后告诉别的和尚“第一个和尚说的对，去那里也白去一趟，真的没有水。”
过了一段时间，第一个和尚去挑水的地方才发现真的没有水，第二个和尚和第三个和听到这个消息以后亲自去那里。他们发现真的没有水。
后来他们三个和尚知道，他们三个人之间产生矛盾时，附近的居民都去那里挑水，所以水都没了。结果他们三个人只好去别的地方挑水。以后他们轮班去远远的地方挑水。虽然这个工作很辛苦，但他们三个人结了友谊。",由“三个和尚没水喝”想到的……,70.0
qinglihou_200510520520250001.txt,"有些人喜欢流行歌曲，说是“赶时代，感受自己是现代人”。而有些人不喜欢，说是“只要是首好歌，永远是好歌”。而我很喜欢流行歌。
我认为听流行歌会感受自己是现代人，二十一世纪的人，也可以感受自己是一个年轻的人不管在哪个时代，歌曲总会随着时代而改变，人也应该随着时代去变，要是有人不赶时代，他简直就像个木头人，没有感情，没有思想。而赶时代生活的人，就会很活跃、快乐，因为他们有思想，不像那些“木头人”一样，他们感受到世界正在变，生活日益改善，好的东西不断地出现，为人类创造幸福，帮人们充满希望地过日子。
新的歌出来了，就必须去听一听，要了解它的意思，从中得到快乐，找到幸福，因为每个人活着都是为了幸福没有一个人活着是为了受苦。
做一个幸福的人，最重要是自己去寻找幸福，只要你睁大眼睛，竖起耳朵，张大嘴巴，幸福到处都有。",我看流行歌曲,70.0
qinglihou_200307217525100042.txt,"200307大连外院00010200042
吃“绿色食品和不挨饿哪个是第一位?这是很难说的问题。因为每一个国家发展水平不同。比如，对非洲的某些国家来说，当然不挨饿是第一位，相反一些发达国家来说，不挨饿的问题早就解决了。但是这些发达国家也近十年来面临着新的问题，因为化学加工物用得太多，影响了母子健康。比如过敏的人大大增加，癌症的增加等。
在历史上，每个国家选择的途径大体相同。不挨饿当然是第一位。随着科学的发展，吃的问题解决了，其次考虑的是健康问题。这里当然包括吃“绿色食品”的问题。
我想最重要的就是“平衡”发达国家给发展中国家提供技术水平和物资援助。让他们解决吃饱问题和健康问题。发达国家应该考虑这两个问题。因为发达国家的发展往往建立在发展中国家的痛苦之上。与此同时，发达国家和其他发达国家继续共同研究解决新问题。
为了世界的不平衡的解决，世界上的每一个人不挨饿，能吃上安全的食品，我们要继续学习，互相帮助。
",绿色食品与饥饿,70.0
qinglihou_200410534533250139.txt,"婚姻生活是一对对走进婚姻殿堂的男女人生中最重要的一环。成功的婚姻将给他们带来幸福，反之，一个失败的婚姻则会让人终身痛悔。因此，男女双方在婚前的最初相识，到后来的相知相惜，并决定共赴婚姻殿堂，这整个过程对婚姻的成败有着重大的影响。
这是一个开放的社会，男女可通过许多不同的管道结交。但我认为若能在某些共同熟知的地方，如学校、工作地方、团体、可以是自我介绍，也可以是通过朋友介结，慢慢地进一步互相了解。因为在这些地方，男女双方会较有共同话题、甚至共同的兴趣。而且这些地方多属于群体生活，男女可借机会细心观察对方的为人处世的态度，可以有较多的机会观察彼此。当彼此已有一定的了解，并决定进一步的发展时，便可两人开始单独约会，深一层的探讨双方的理想、人生目标、背景，这个好处是，若彼此没意思、也就不同刻意脱离团体，也不会招来别人的闲语。
总之，婚前的认识是很重要的。不论什么样的结交方式，男女双方都应诚恳，那么，即使不能成为夫妻，也可能可以获得一位好友。",最理想的结交方式,80.0
qinglihou_200307205525100123.txt,"我从来没碰到过挨饿的情况。但我会想象到的，因为我在电视里看到过好几次，而且爷爷给我说了好几遍，他说在战争的情况下不管什么东西都不得不吃下去的，比如树的皮、树的根、而在东南亚战场的士兵们，连人的肉也要吃的，不然的话活不下去。据爷爷的话，我还是不敢说“使用化肥和农药的不吃”这样的漂亮话。虽然现在我们可以造很多东西，照自己的想法，照自己喜欢的想买什么，就买什么，但我觉得重要的是珍惜食品。
我们活下去的话该要杀死其它动植物，简单地说被杀死的动植物让我们活下去。我们为了它们，为了被杀死的无罪的动植物们，该要不剩下菜。
但这样的想法和选“使用化肥和农药的”完全没有关系，要是在超市里有使用化肥和农药的食品和绿色食品的话，我还是选绿色食品因为我想活得长一点，不想得病。我是这样想的。
谢谢
",绿色食品与饥饿,60.0
qinglihou_200405109523200653.txt,"现在人们越来越重视自己的健康，所以吸烟的人越来越少。这样的情况对社会好，可是还有很多人吸烟甚至有初中生。吸烟肯定对个人健康和公众利益不太好。首先个人健康角度来说，社会发展的速度越来越快所以人们的压力越来越大这样的情况下吸烟的人经常说吸烟的时候忘了这样的情况，可是这是为了五分钟的满足放弃自己的健康。烟含有很多很多对身体不好东西，这样的东西，吸烟的时候留在身体里以后这样的东西引起重病。
还有公众利益方面来说，社会上还有不吸烟的人。最近他们的声音越来越大，因为他们虽然不吸烟可是受到吸烟者的影响，他们叫被动吸烟者。被动吸烟者比吸烟者对身体不太好的影响大，所以吸烟者应该尊重被动吸烟者的权力。吸烟者在公众地方吸烟，还有买烟交钱，这也是社会的损失。虽然买烟的钱少可是这些钱存下来的话会攒一大笔钱。用这些钱做别的事的话效益比较大，比如帮助社会弱者等。所以吸烟对个人健康和公众利益的影响不太好，吸烟者应该考虑到这些影响。",吸烟对个人健康和公众利益的影响,60.0
qinglihou_200510302523200167.txt,"流行歌曲有很多的听众。但也有很多人不喜欢流行歌曲。我很喜欢流行歌曲。喜欢流行歌曲的原因有很多。
第一个原因是我喜欢它的歌词。有的歌词是关于爱情的，有的歌词是关于一个美好的故事，有的歌词是关于友情的，等等有好多种。流行歌曲的歌词有很多是很美好的，让我听着歌的时候，我都在想着这歌词里的主人公会怎么样，做什么事，等等。这对我的想像力有帮助。
第二个原因是流行词曲的曲调和伴奏都很好。让我听着会很舒服。有的歌是由很多乐器发出很美的音。比如，钢琴和小提琴融合在一起的时候，让我听着都被它吸引住，再配上歌词，唉，我都无法用语言表达出来了，反正那种感觉叫人很舒服。
第三个原因是当我们在学习上或在生活上有压力的时候，我们可以拿出一点时间听听音乐放松一下，这种方法真的很让我减轻压力。流行歌曲的歌词有很多是关于学习中遇到挫折时候的心情。再加上让人很兴奋的曲调，真的让我减轻学习上的压力。听几分钟后，我原有的压力都没有了。
流行歌曲就是这样，会使我有很大的想像力，也会使我很舒服，也会使我减轻压力的一个最好的朋友。
我很喜欢我的最好的朋友——流行歌曲！",我看流行歌曲,80.0
qinglihou_200510919919150003.txt,"父母对每个人来说都应该是最亲最近的人了。因为我们成长的每一步都会受他们的影响。比如，个人思想观点和品质的形成很多是来自父母的家教。再如，个人在将来的发展趋向也是需要父母的引导和帮助。父母是个人的启蒙老师，他们对孩子的影响是极为深远的。
个人的思想观点和品质其实在童年时就已经形成了，而父母在此时扮演了相当重要的角色。当父母教导子女如何与同伴相处及如何融入群体时，孩子们就会明白做人的道理。当孩子犯错时，父母惩罚又是极其有用的，因为孩子会及时纠正他们的缺点。因此，父母对孩子的思想行为是非常重要的。
孩子发展和前途也极需父母帮助。父母可以在孩子很小时就发现他们的兴趣而加以培养。如今，很多著名的运动员、艺术家都是在他们年幼时就得到了很好的栽培，在成年之后其才华便得到发挥。当然，不可否认很多有名之士也是白手起家的，但那绝对不是普遍的。因为再好的幼苗离开父母的呵护，最终也会枯萎的。
父母是孩子启蒙老师，同时他们也是孩子的导师。父母在孩子的成长过程中起到了基石的作用。他们可以帮助孩子形成正确的人生观和品质，同时他们又可以引导孩子发挥自己的专长。父母作为孩子的第一任老师，可以说是当之无愧的。",父母是孩子的第一任老师,95.0
qinglihou_200205201519200130.txt,"我本人不反对“安乐死”，不但不反对，我非常赞成在无可选择的条件下，“安乐死”是一种极好的结束生命的方法之一。我希望有一天，当我在面临进退两难，在死神争扎的时刻，我情愿我家里的人，以“安乐死”的方式让我长眠。
两年前，我的母亲因哮喘而住院。母亲患的是晚期的哮喘，已失去肺的呼吸功能。医生在她口腔、鼻子插了好几条呼吸管子。母亲躺在病榻上，动弹不得，一呼一吸对健康人来说是那么毫不费力，可对她来说有如费了九牛二虎之力。那么轻轻的一吸，缓缓的一呼都会使她汗流浃背，气喘如牛。我犹记在病榻上的母亲，曾经告诉过我，她宁愿死去也不愿那么辛苦地活着。在她奄奄一息的那时刻，她的眼神在乞求我，求我把她口里的呼吸管子拉掉，可是我不敢。她那时的眼神在求我，也在恨我让她受尽痛苦而不动手。我那时心在绞痛，可是我就是动不下手。
那是我亲身的经历，我认为安乐死，尤其在死者的要求下，而死者在万念俱灰，无可救药时，为什么不可取呢？
一是能帮助病人解除痛苦，反正病人迟早都会死去。但是我认为“安乐死”只当病人已得了绝症，在极痛苦的情况下才可施行。
二是可减轻病人及他家人的经济负担。",如何看待“安乐死”,85.0
qinglihou_200504534501250019.txt,"我赞成男女混合式教育，亦即是我反对男女分班。我认为男女合班的好处在于可以使学生在进入社会前学习两性平等共处、分工合作的原则，并可使男女学生自然地接受两性教育，了解如何尊重异性，及如何利用两性的差异完成社会上不同性质的任务。毕竟对一个完善的教育体制而言，学生们要学习的不仅是课本上的理轮，人际关系、生活智慧、应变能力、处事原则，都对学生们进入社会后的实际生活关系重大。而社会上的自然现况便是两性社会，与其让学生们从封闭]的学校步入社会時才开始学习两性的共处，为何不让学生们在学校時便自然地体验与异性互动的生活方式呢？
至于某些家长担心的学生早恋问题，我认为，这应该不是男女分班可以完全解决的。因为不管用如何严密的方法保护子女，他们还是会有管道与外界接触。而且，过分严密地禁止反而会导致反效果，亦即是青年学子在没有正确观念下，私自以不够正确的方式与异性交往，因而造成未婚怀孕、始乱终弃、或惧于与异性交往、自我封闭]等问题。
因此我认为，解决两性差异在社会上造成的问题，就像治洪水一样，不在于防堵，而在于适度的宣泄。而学习适当处理两性问题的最佳处所，更要从社会，提早至性格开始成形的教育环環境中。",我对男女分班的看法,85.0
qinglihou_200405109523100833.txt,"最近，市政府宣布将实施对公共场所走边吸烟者进行罚款的措施。我认为这是非常好的措施。因为吸烟不仅严重危害个人的健康，还危害公众的利益。
据统计，全世界每年有数万人死于肺炎，其中主要原因是吸烟。在那些死亡人中，三四十岁的男子占百分之七十以上。他们不仅失去了自己唯一的生命，还造成社会的劳动力减少，影响了国家的建设
吸烟不只是危害吸烟者，还给我们每个公民造成了金钱上的损失。
吸烟时吐出来的烟，对旁边非吸烟者的危害更大于吸烟者。而且，大多数吸烟者吸完烟经常把烟头随便扔在地上，造成严重的环境污染。为了清理那些烟头，政府不得不多雇用环境清洁工，花费更多的国家的资金，而那些资金来源于我们国民。于是按国家的要求，我们还得交更多的税金。这些都是吸烟给我们公众带来的坏处。
根据这些例子来看，吸烟不仅影响个人的健康，还严重危害到]国家的发展和我们每个人的利益。所以我非常反对吸烟，且非常地赞同、支持市政府将要实施的新的措施。",吸烟对个人健康和公众利益的影响,85.0
qinglihou_199412124506100060.txt,"对一个人来说，他的父母对他影响很深的人，我也这样认为。要说来对我影响最深的人，我觉得我母亲就是对我影响最大的人。因为我生活的大部分时间是跟她在一块儿过的。她对我的照顾、关心和爱，我永远不能忘记。当然这是人的一种本性他把自己的亲人看成最好。一个母亲认为她的孩子是世界上最漂亮、最可爱的。那每个孩子就可能有一样的想法他认为世界上没有比他母亲再好的母亲。我确实是这样想。我觉得没有人有比我妈妈好的母亲。她很爱我我也很爱她。
虽然我母亲文化水平不算很高，但是她的知识也不少。所以她希望我继续学习。
母亲告诉过我，我们小的时候家里情况不太好。母亲为了我们牺牲了自己的一切。因为爸爸是军人，我哥哥和我出生时，是战争时期。爸爸去哪儿母亲也带我去哪。生活很艰苦。
我母亲的性格很灵活，她从来没有打过、骂过我。她信任我们。我们也没有失望她，总是听她的。
我来中国三年了虽然我每年一两次回家但是还是很想对我影响最大的人——我亲爱、伟大的母亲。有时想为什么离开她到这儿来了但是这世是她",记对我影响最大的一个人,65.0
qinglihou_199604123525100297.txt,"“安乐死”这个问题是在我的国家常讨论的。尽管讨论了好久，也还没得到什么结论。个人有个人的看法。那么我如何看待这个问题呢？
我要考虑一种情况，就是我爸爸得了一种不治之症，十分痛苦，要求我帮助他自杀。我到底怎么办呢？我可能按照他的要求帮助他自杀。这是因为与其受到痛苦活下去，还不如去世。但是如果万一有治好的可能性，我一定不要这样做。没有治好的可能性的话，才这样做。那么我应该不应该受到法律的制裁？我虽然对法律方面知道得不太多，不过我自己认为我不应该受到法律的制裁。我帮助他自杀，这是为了解脱爸爸的痛苦，而不是为了给他带来痛苦。
我虽然这样说，不过遇到这种情况的时候我不知道能不能这样做。说起来容易，做起来很难。以后有时间考虑这个问题的话，我想好好儿考虑一下。",如何看待“安乐死”,80.0
qinglihou_200505109525100205.txt,"我认为父母确实是孩子的第一任老师。除了父母的兴趣爱好、思想观念、行为之外，他们的素质也会对孩子有影响。我想下面以我为例看待这一问题。
首先，我父亲高中的时候打了三年棒球，所以我父亲现在也喜欢除了打棒球以外，还喜欢看棒球。其实，我也受了父亲的影响，从小学就开始打棒球。他有的时候陪我练习，甚至现在也有的时候跟父亲谈棒球的事情。
除了这个以外，因为我母亲是个性格外向的人。她喜欢跟别人交流，所以我的性格也比较外向。老实说，现在这一点我很感谢母亲。喜欢交流的话，既能提高汉语水平又能跟很多人成为朋友。因我我们学校是一个外国人比较多的学校，所以通过朋友们可以了解外国人的思想和习惯等。
总的来看，我是同意“父母是孩子的第一任老师”的说法。但是有的时候，孩子会学自已父母的缺点。所以父母应该注意到这一点。",父母是孩子的第一任老师,70.0
qinglihou_200405204519100095.txt,"如今，市政府为打击吸烟者而实施了不少新的规定，如减少被允许吸烟的公众场所和对边走边抽烟的人罚款。由此可见，抽烟的危害性是那么的为政府所关注。但究竟吸烟对个人健康和公众利益的不良影响有多大呢？
其一，吸烟可致癌。这一个论点可说是没有人不知道，甚至一个几岁小孩也懂得一支烟含有两百多种化学物质，其中尼古丁含量最高，吸烟会致癌，吸烟后很难戒。但烟草公司的精采广告却能让不少深知吸烟的后果的青少年加入吸烟一族。他们的上钩使得
一袋一袋的金子从他们父母的口袋中转到烟草公司袋中！
其二，吸烟对他人的危害比自身的危害大。据研究报告说，吸二手烟的人致癌比吸烟的人高三倍。还在妈妈肚子里的小宝宝因妈妈吸烟而成为畸形的也比正常的高出数倍。就算不为自己的健康着想，烟民们，请为了你们最爱的人而戒烟吧！
其三，吸烟大大加大经济负担。这一个危害又以尚没有独立经济能力的青少年最为明显。他们一旦染上这恶习，没钱吞云吐雾时就势必成为伸手将军，把父母的血汗钱拿来做对大家都没有利的事。他们当中也有当父母不肯给或给不出这一些消费时，为了“享受”吸烟而做出一些伤天害理的事情以获得金钱。
以上种种都足以见到吸烟的种种弊端，吸烟可谓“百害而无一利”。政府打击这“危害”的决心是值得广大市民兴
奋！但愿政府的苦心能够把吸烟的伤害力降到最低。",吸烟对个人健康和公众利益的影响,75.0
qinglihou_200104124523200329.txt,"爸爸、妈妈：你们好吗？
你们都身体好吗？爸爸的病好多了吧？我很担心。妈！替我照顾爸爸。最近生意怎么样？客人多吗？听说韩国整体情况都不太好，你们也别紧张。过一段时间肯定好的。最重要事是你们的健康。爸爸、妈妈一定要注意身体呀！
妈！学习怎么样？他马上有期中考试吧。你转告他，姐说：“努力学习，考的时候别紧张，还要加油。”
我在中国的生活很好。我已经在这里生活了四年了。你们不要担心。我马上有毕业考试，我省下时间努力学习，取得好成绩。
爸爸，妈妈！我很感谢你们。一个孩子送到国外学习的事是不容易。我在留学当中一直很",一封写给父母的信,55.0
qinglihou_200405109523100827.txt,"吸烟是对人身体很不好的。烟的时候我们的肺的生命会减短。{CP在烟里有很多东西是人体里不能放进去
的东西，那些东西就是尼可丁这个东西是会把肺里面放满了油这些油是不能在人体里存在的物质。如果你常常吸烟的话肺就变成一个黑黑的东西，一旦发现黑色东西在里面的话你立刻停止吸烟。
现在有很多国家在人们停止吸烟比如某市政府出台的一项规定：在公共场所边走边抽烟的人将被罚款。这是迄今为止对吸烟者最为严厉的惩罚措施。这一新措施在人口密集的商业中心已开始实施。这样的话，在公共场所，允许抽烟的地方越来越少了，只能在允许抽烟的地方抽烟了。据称，市政府出台该措施是为了保持市容整洁，并帮助青少年良好的习惯。还可以减少得肺炎死的人。还立刻提高烟的价格这样的话没有人想去买烟了。从个人开始行动才可以建立起才能建立起我们所想象的美好环境，才可以让自己的生活也过得愉快，还要爱我们的家园留给我们的下一代。",吸烟对个人健康和公众利益的影响,65.0
qinglihou_200307109523100250.txt,"我觉得第一位应该是“绿色食品。”原因之一是“绿色食品”对人的身体有好处没有坏处。以前人们不知道“绿色食品”的重要性，为了增加生产量，所以用上了很多种农药，但这种食品人们吃的话，虽然饱，但是对人体一点儿也没有好处。
原因之二是现在世界上有很多饿死的人，但是也有很多富有的人，他们可以帮助贫困地区。我以前报纸上看过，世界上所有的人吃饭的时候，不浪费食品，就世界上被饿死的人存在。这说明是“绿色食品”和“饥饿”根本没有关系的。
原因之三是用农药的话，生态平衡破坏了，所以人们在地球上不能继续生活。
　这三种原因我觉得“绿色食品”和“饥饿”根本没有关系，而且“绿色食品”是必须要的。
虽然“绿色食品”对生产量有会影响，但是环境和人的生活方面看，“绿色食品”是应该排在第一位置
",绿色食品与饥饿,65.0
qinglihou_200307212523100062.txt,"虽然“绿色食品”也是通过机器或者人的加工而生产的，但现代人们的生活上成为了不可缺乏的东西了。
目前，吃“绿色食品”的群众当中，我想应该没有人不知道他们吃的绿色食品是否加过工。人们都知道加过工的食品，不健康于人们的身体，但他们都喜欢吃。
生产绿色食品的农民们绝不是对社会不满意而用化肥和农药而是他们都为了多生产多卖而用化肥和农药。
所以我们社会也不能盲目地怪他们关于加工过的绿色食品。
北韩是韩国的同一个民族，可他们那边的人，不要说绿色食品而连普普通通的绿菜也没得吃。他们生产的菜量可比不上任何一个国家。
世界各地不仅仅是北韩而且非洲那边的国家生活得很辛苦。
他们国家农作物的产量越来越低，甚至有些国家由于自然环境的问题而根本生产不了农作物。世界上还有几亿人缺少营养而饿死了。
韩国人生活得富有的同时他们还会帮助北韩和非洲等贫困的国家。
由于农产品做过加工的绿色食品造成污染环境是个大问题。但我们也总不能说不要加工。
我们应该自己买到了绿色食品后先洗干净它才吃，不要乱丢绿色食品来污染环境。
总的来说我觉得饿死还不如吃绿色食品。 
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　",绿色食品与饥饿,75.0
